Restaurant name,Restaurant Rating,Restaurant latitude,Restaurant longitude
Tipicos Antojitos Hondureños,4.4,30.27581731178985,-81.60427787632109
904 Deli,4.4,30.19392150500615,-81.57776956494293
China Buffet,2.9,30.31941,-81.55376
Fatboy Fried Rice,4.3,30.286517623632925,-81.52428979999999
The Loop Pizza Grill,3.6,30.1957780849801,-81.6221998129669
Freddy's Frozen Custard & Steakburgers,3.3,30.263419,-81.52922809631254
Noodles & Company,3.1,30.259863,-81.527875
Cafe Frisch,5.0,30.3348,-81.6589
Green Tea,4.0,30.1949373368499,-81.6224381456895
Red Lobster,2.6,30.32982,-81.550969
European Bakery,4.8,30.2222230182814,-81.5932501852512
Le Crepes,4.5,30.184597,-81.5535033
Springfield Scoops,4.5,30.346009,-81.653775
Golden Eggroll,4.1,30.31322,-81.57434
Paleteria Magia Fresca,4.2,30.26414,-81.63045
Cuba Libre Bar,2.8,30.305435,-81.637485
E Z Grill,4.6,30.33316,-81.58831
Jacksonville Naval Museum,5.0,30.323927270640297,-81.65709849447012
Jersey Mike's Subs,3.9,30.262060149488747,-81.62545306957404
Bamboo Express,3.9,30.2605391142276,-81.6456981890817
Chocolate Fashion,3.9,25.7485406845808,-80.2596089243889
Manantial Market Place,4.4,25.7701921,-80.3058713
Talkin Tacos - Wynwood,4.3,25.799525,-80.198169
Pinocchio On The Bay,4.5,25.79409,-80.187073
Cuban Guys - Flagler,4.3,25.76993,-80.33018
K Pizza,4.6,25.692508,-80.306064
Gyroville,3.9,25.6854457523934,-80.3644753710712
Imperial Tea,4.1,25.686501,-80.3138929
El Porton de la Flaca,4.6,25.787303,-80.36975
Love 'n Gyros,4.3,25.80341,-80.1954
The Taurus,3.6,25.724872,-80.245407
Kings Dining & Entertainment - Doral,4.0,25.807059,-80.3317637
Super Subs,4.4,25.7333399,-80.2984199
Bubba Gump Shrimp,2.9,25.7783752,-80.1872277
The Better Taco,4.7,25.8095556,-80.28933359999999
Gramps,4.2,25.7996102,-80.1982861
Keik Bakeshop,4.3,25.7870253,-80.33741719999999
